ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
0.0,1,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
1,0,0.017347177794496887,0.0,0.333333,1.74846e-07,9.42809,20.477,32.0649,54.7036,95.5707,190.715,186.691,183.018,180.299,177.493,174.591,171.584,167.17,161.779,150.252,109.407,64.1297,40.954,18.8562
